Designator,Qty,LCSC,Manufacturer Part,Device UUID,Library UUID,Symbol UUID,Footprint Name,Footprint UUID,JLCPCB Class,Fit
U1,1,C2913201,ESP32-S3-WROOM-1-N8R8,f1c4b28a063f4c649ca8e2a2600c5103,0819f05c4eef4c71ace90d822a990e87,0f5b8bcd233d4b90baae01db6ffbd66d,WIRELM-SMD_ESP32-S3-WROOM-1,bacdc9b3530d4b9ca5f35adac008b474,Extended,FIT
U3,1,C6186,AMS1117-3.3,9f9c6cb41c7449fd8acf96aceed2661a,0819f05c4eef4c71ace90d822a990e87,06f50e10ab7d460599b3fe3ee8717a78,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,20c29e37a9b84b4197418483096f9c05,Basic,FIT
U2,1,C8963,SP3485EN-L/TR,b117181a324c401c8efb877412bc34c2,0819f05c4eef4c71ace90d822a990e87,730b7cf2149b411fb2cea7a6a6100b1e,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,f7d15c2fdb6442c7924d73bb1cadcb47,Basic,DNP by default
K1 K2 K3,3,C35449,SRD-05VDC-SL-C,60c5333b7b694ffe99b994b52e81111a,0819f05c4eef4c71ace90d822a990e87,95a78459a16d4bb4ab67d153734b878d,RELAY-TH_SRD-XXVDC-XL-C,e091fe638fa34354809b87cd801cad53,Extended,FIT
Q1 Q2 Q3,3,C20917,AO3400A,2b6cc05daeb34c16b9e00706a375fc9f,0819f05c4eef4c71ace90d822a990e87,797c499756fa423ab81653205133cd20,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,bdad16194d454cb292a50525f39c3ffd,Basic,FIT
D1 D2 D3,3,C81598,1N4148W,76ae888fe00d40c59fce4253fc975718,0819f05c4eef4c71ace90d822a990e87,31113b25f2704edb8624768488f4efb6,SOD-123F_L2.7-W1.6-LS3.8-RD,9037e46ec88e4daaac06215d79f5d775,Basic,FIT
R1 R2 R3,3,C22775,0603WAF1000T5E,5303080f43d74b41ae76fc5142aa97e5,0819f05c4eef4c71ace90d822a990e87,22d0f9a0d19246ba9a49e0617e0d8ef8,R0603,50b4943912284dab97752312e589e9e2,Basic,FIT
R4 R5 R6,3,C25804,0603WAF1002T5E,b948db94476e4027ac8953235755ec96,0819f05c4eef4c71ace90d822a990e87,e23085a8f904493eb2ce369cbc1b267c,R0603,50b4943912284dab97752312e589e9e2,Basic,FIT
R8,1,C22787,0603WAF1200T5E,70ad7c7d259c46308522db94f14f808c,0819f05c4eef4c71ace90d822a990e87,3cb2eb9a89be4a82ae6e965e86474152,R0603,50b4943912284dab97752312e589e9e2,Basic,DNP by default
R9 R10,2,C23186,0603WAF5101T5E,b5d09b57bc354a60b86d6a6308651647,0819f05c4eef4c71ace90d822a990e87,ab4a1b05c63347fc877e30d15b95594f,R0603,50b4943912284dab97752312e589e9e2,Basic,FIT
J1,1,C8465,WJ500V-5.08-2P,ed83dade445541fd9e7b4ebd59966e33,0819f05c4eef4c71ace90d822a990e87,63e5f2245aff4a4b8673710e165cc5c3,CONN-TH_2P-P5.00_WJ500V-5.08-2P,8968bbc397b14e199797e74eee3df70d,Extended,FIT
J2 J3 J4,3,C8465,WJ500V-5.08-2P,ed83dade445541fd9e7b4ebd59966e33,0819f05c4eef4c71ace90d822a990e87,63e5f2245aff4a4b8673710e165cc5c3,CONN-TH_2P-P5.00_WJ500V-5.08-2P,8968bbc397b14e199797e74eee3df70d,Extended,FIT
J5,1,C9900005589,KF128-3.81-2P,f40eae3e0a65456ebfbf0dbe6e1215ea,0819f05c4eef4c71ace90d822a990e87,01511d6b09444c76a2b6ee94f78a92d9,CONN-TH_P3.81_KF128L-3.81-2P-1,487be35cd79947a0b5f4b62e4888dd6b,Extended,DNP by default
J6 J7 J8,3,C9900005589,KF128-3.81-2P,f40eae3e0a65456ebfbf0dbe6e1215ea,0819f05c4eef4c71ace90d822a990e87,01511d6b09444c76a2b6ee94f78a92d9,CONN-TH_P3.81_KF128L-3.81-2P-1,487be35cd79947a0b5f4b62e4888dd6b,Extended,FIT
J9,1,C165948,TYPE-C-31-M-12,74d31c19993b4b9581f3175a7da4b280,0819f05c4eef4c71ace90d822a990e87,8de51be61d8845edaaae6c1109a76c83,USB-C_SMD-TYPE-C-31-M-12_1,6be549a13f5d4c07a7d9efa614d32ed9,Extended,FIT
