Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4148/SS14","D1",56.000000,-22.000000,0.000000,top
"D2","1N4148/SS14","D2",56.000000,-37.000000,0.000000,top
"D3","1N4148/SS14","D3",56.000000,-52.000000,0.000000,top
"J1","5V IN","J1",9.000000,-76.000000,0.000000,top
"J2","OPEN OUT","J2",86.000000,-22.000000,90.000000,top
"J3","CLOSE OUT","J3",86.000000,-37.000000,90.000000,top
"J4","STOP OUT","J4",86.000000,-52.000000,90.000000,top
"J5","RS485","J5",73.000000,-13.000000,0.000000,top
"J6","OPEN LIMIT","J6",10.000000,-13.000000,0.000000,top
"J7","CLOSE LIMIT","J7",25.000000,-13.000000,0.000000,top
"J8","RAIN","J8",40.000000,-13.000000,0.000000,top
"J9","USB-C DEVICE","J9",36.000000,-82.000000,0.000000,top
"K1","SRD-05VDC-SL-C","K1",66.000000,-22.000000,0.000000,top
"K2","SRD-05VDC-SL-C","K2",66.000000,-37.000000,0.000000,top
"K3","SRD-05VDC-SL-C","K3",66.000000,-52.000000,0.000000,top
"MH1","M3 NPTH","MH1",6.000000,-6.000000,0.000000,top
"MH2","M3 NPTH","MH2",85.440000,-6.000000,0.000000,top
"MH3","M3 NPTH","MH3",6.000000,-81.630000,0.000000,top
"MH4","M3 NPTH","MH4",85.440000,-81.630000,0.000000,top
"Q1","AO3400A","Q1",48.000000,-26.000000,0.000000,top
"Q2","AO3400A","Q2",48.000000,-41.000000,0.000000,top
"Q3","AO3400A","Q3",48.000000,-56.000000,0.000000,top
"R1","100R","R1",42.000000,-24.000000,0.000000,top
"R2","100R","R2",42.000000,-39.000000,0.000000,top
"R3","100R","R3",42.000000,-54.000000,0.000000,top
"R4","10k pullup","R4",14.000000,-22.000000,0.000000,top
"R5","10k pullup","R5",29.000000,-22.000000,0.000000,top
"R6","10k pullup","R6",44.000000,-22.000000,0.000000,top
"R8","120R DNP","R8",73.000000,-22.000000,0.000000,top
"R9","5.1k","R9",45.000000,-80.000000,0.000000,top
"R10","5.1k","R10",45.000000,-84.000000,0.000000,top
"U1","ESP32-S3-WROOM-1","U1",28.000000,-49.000000,0.000000,top
"U2","MAX3485","U2",58.000000,-18.000000,0.000000,top
"U3","AMS1117-3.3","U3",20.000000,-76.000000,0.000000,top
