Designator,Mid X,Mid Y,Layer,Rotation
D1,56.000mm,22.000mm,Top,0.00
D2,56.000mm,37.000mm,Top,0.00
D3,56.000mm,52.000mm,Top,0.00
J1,9.000mm,76.000mm,Top,0.00
J2,86.000mm,22.000mm,Top,90.00
J3,86.000mm,37.000mm,Top,90.00
J4,86.000mm,52.000mm,Top,90.00
J6,10.000mm,13.000mm,Top,0.00
J7,25.000mm,13.000mm,Top,0.00
J8,40.000mm,13.000mm,Top,0.00
J9,36.000mm,82.000mm,Top,0.00
K1,66.000mm,22.000mm,Top,0.00
K2,66.000mm,37.000mm,Top,0.00
K3,66.000mm,52.000mm,Top,0.00
Q1,48.000mm,26.000mm,Top,0.00
Q2,48.000mm,41.000mm,Top,0.00
Q3,48.000mm,56.000mm,Top,0.00
R1,42.000mm,24.000mm,Top,0.00
R2,42.000mm,39.000mm,Top,0.00
R3,42.000mm,54.000mm,Top,0.00
R4,14.000mm,22.000mm,Top,0.00
R5,29.000mm,22.000mm,Top,0.00
R6,44.000mm,22.000mm,Top,0.00
R9,45.000mm,80.000mm,Top,0.00
R10,45.000mm,84.000mm,Top,0.00
U1,28.000mm,49.000mm,Top,0.00
U3,20.000mm,76.000mm,Top,0.00
